Source ID,SCRC verdict,MISRust class,Source level,Proposed Rust rules,Assessment
11.3.2,safe,C4,Advisory,:ref:`SCR-RUST-030 <scr-rust-030>`,Draft interpretation; applicability and enforcement require review.
11.6.1,unsafe,C4,Advisory,:ref:`SCR-RUST-031 <scr-rust-031>`,Draft interpretation; applicability and enforcement require review.
11.6.2,unsafe,C4,Mandatory,:ref:`SCR-RUST-031 <scr-rust-031>`,Draft interpretation; applicability and enforcement require review.
11.6.3,not applicable,C3,Required,not applicable,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.
12.2.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
12.2.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
12.2.3,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
12.3.1,unsafe,C5,Required,:ref:`SCR-RUST-032 <scr-rust-032>`,Draft interpretation; applicability and enforcement require review.
13.1.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
13.1.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
13.3.1,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
13.3.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
13.3.3,safe,C6,Required,:ref:`SCR-RUST-033 <scr-rust-033>`,Rust accepts underscore parameter patterns; names and unused-role policy need explicit interpretation.
13.3.4,safe,C2,Required,rule assignment pending,SCRC: applies to safe Rust; function/vtable pointer comparison is unspecified. No S-CORE rule yet.
14.1.1,safe,C6,Advisory,:ref:`SCR-RUST-034 <scr-rust-034>`,Adapt structural public/private restriction into invariant protection; record as project interpretation.
15.0.1,safe,C5,Required,:ref:`SCR-RUST-035 <scr-rust-035>`,"Pin is a type, not a trait; review Unpin/structural pinning only where used."
15.0.2,not applicable,C3,Advisory,not applicable,SCRC: not applicable. No move constructors; Clone signature fixed by the trait. Mapping removed.
15.1.1,not applicable,C3,Required,not applicable,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.
15.1.2,not applicable,C3,Advisory,not applicable,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.
15.1.3,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
15.1.4,unsafe,C3,Advisory,:ref:`SCR-RUST-031 <scr-rust-031>`,SCRC: applies to unsafe Rust; MaybeUninit and similar bypass initialization checks.
15.1.5,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
15.8.1,unsafe,C3,Required,:ref:`SCR-RUST-035 <scr-rust-035>`,SCRC: applies to unsafe Rust; Pin-based move emulation must define self-assignment behavior.
16.5.1,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
16.5.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
16.6.1,not applicable,C3,Advisory,not applicable,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.
17.8.1,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
18.1.1,unsafe,C2,Required,:ref:`SCR-RUST-036 <scr-rust-036>`,SCRC: applies to unsafe Rust; raw-pointer panic payloads (panic_any) have unclear ownership.
18.1.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
18.3.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
18.3.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
18.3.3,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
18.4.1,safe,C2,Required,:ref:`SCR-RUST-036 <scr-rust-036>`,SCRC: applies. Restore related obligation from C2: Drop can panic and a second panic during unwinding can abort.
18.5.1,safe,C5,Advisory,:ref:`SCR-RUST-004 <scr-rust-004>`,Result error propagation and panic/unwinding are distinct; both need explicit policies.
18.5.2,safe,C6,Advisory,:ref:`SCR-RUST-036 <scr-rust-036>`,Draft interpretation; applicability and enforcement require review.
19.0.1,not applicable,C5,Required,:ref:`SCR-RUST-037 <scr-rust-037>`,SCRC: not applicable (cfg attaches to the next item). Retained: cfg_select and attribute placement still need review.
19.0.2,safe,C2,Required,:ref:`SCR-RUST-038 <scr-rust-038>`,"SCRC: applies to safe Rust; prefer functions over function-like macros, variadic macros excepted."
19.0.3,safe,C6,Advisory,:ref:`SCR-RUST-011 <scr-rust-011>`,Draft interpretation; applicability and enforcement require review.
19.0.4,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.1.1,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.1.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.1.3,not applicable,C4,Required,not applicable,SCRC: not applicable. Undefined identifiers are compile errors. Mapping removed.
19.2.1,safe,C3,Required,:ref:`SCR-RUST-011 <scr-rust-011>`,SCRC: applies to safe Rust; include! and path attributes can shadow items in outer scopes.
19.2.2,not applicable,C5,Required,not applicable,SCRC: not applicable. Invalid include paths are compile errors. Mapping removed.
19.2.3,not applicable,C4,Required,:ref:`SCR-RUST-011 <scr-rust-011>`,SCRC: not applicable (raw strings supported). Retained as supporting source for include!/path provenance.
19.3.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.3.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.3.3,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.3.4,safe,C4,Required,:ref:`SCR-RUST-038 <scr-rust-038>`,Macro expression matching does not ensure single evaluation or absence of hidden effects.
19.3.5,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
19.6.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
21.2.1,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
21.2.2,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
21.2.3,safe,C1,Required,rule assignment pending,SCRC: applies to safe Rust; std::process::Command has platform path-search hazards. No S-CORE rule yet.
21.2.4,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
21.6.1,safe,C6,Advisory,:ref:`SCR-RUST-039 <scr-rust-039>`,Controlled allocation is a proposed project adaptation; do not silently impose a blanket allocation ban.
21.6.2,safe,C5,Required,:ref:`SCR-RUST-035 <scr-rust-035>`,Drop is not guaranteed to run; mem::forget and leaks are safe operations.
21.6.3,unsafe,C4,Required,:ref:`SCR-RUST-039 <scr-rust-039>`,Draft interpretation; applicability and enforcement require review.
21.6.4,not applicable,C2,Required,:ref:`SCR-RUST-039 <scr-rust-039>`,SCRC: not applicable (GlobalAlloc dealloc always receives the layout). Retained: allocator customization still needs review.
21.6.5,not applicable,C4,Required,not applicable,SCRC: not applicable. No incomplete types. Mapping removed.
21.10.1,unsafe,C1,Required,:ref:`SCR-RUST-021 <scr-rust-021>`,SCRC: applies to unsafe Rust; C-variadic arguments (VaList) carry the same hazards as in C.
21.10.2,unsafe,C1,Required,:ref:`SCR-RUST-042 <scr-rust-042>`,SCRC: applies to unsafe Rust; setjmp/longjmp reachable through FFI or inline assembly and often UB.
21.10.3,unsafe,C1,Required,:ref:`SCR-RUST-042 <scr-rust-042>`,SCRC: applies to unsafe Rust; signal handling only through platform APIs.
22.3.1,safe,C5,Required,:ref:`SCR-RUST-040 <scr-rust-040>`,A constant argument to ordinary assert! does not by itself force compile-time evaluation.
22.4.1,unsafe,C2,Required,:ref:`SCR-RUST-042 <scr-rust-042>`,SCRC: applies to unsafe Rust; errno is writable only through platform APIs.
23.11.1,unsafe,C2,Advisory,:ref:`SCR-RUST-020 <scr-rust-020>`,"SCRC: applies. Reassess C2: raw pointers can be constructed in safe Rust; audit boundaries by operations, not unsafe keywords."
24.5.1,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
24.5.2,unsafe,C1,Required,:ref:`SCR-RUST-025 <scr-rust-025>`,SCRC: applies to unsafe Rust; ptr::copy and copy_nonoverlapping are the memmove/memcpy analogues.
25.5.1,unsafe,C1,Required,:ref:`SCR-RUST-042 <scr-rust-042>`,SCRC: applies to unsafe Rust; locale handling requires FFI.
25.5.2,unsafe,C1,Mandatory,:ref:`SCR-RUST-042 <scr-rust-042>`,"SCRC: applies to unsafe Rust; only the FFI part (OS error strings, setenv) is in scope; std::env::var returns owned data."
25.5.3,unsafe,C1,Mandatory,:ref:`SCR-RUST-042 <scr-rust-042>`,"SCRC: applies to unsafe Rust; time zone, locale and errno access through FFI."
26.3.1,not applicable,C2,Advisory,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
28.3.1,safe,C2,Required,rule assignment pending,SCRC: applies to safe Rust; stateful predicates in iterator adapters. No S-CORE rule yet.
28.6.1,safe,C4,Required,:ref:`SCR-RUST-035 <scr-rust-035>`,"Comment describes a C++-specific move issue; native moves are compiler-checked, custom owners still need review."
28.6.2,not applicable,C2,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
28.6.3,unsafe,C2,Required,:ref:`SCR-RUST-015 <scr-rust-015>`,SCRC: applies to unsafe Rust; a raw pointer can observe a moved-from location.
28.6.4,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
30.0.1,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
30.0.2,not applicable,C1,Required,not applicable,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion."
