misra_cpp_id,source_kind,source_category,misra_cpp_pdf_page,misrust_class,paper_relevant_set,score_disposition,score_rule_ids,assessment_note,review_status,artifact_row,artifact_commit,scrc_applicability,scrc_misra_c_ref,scrc_guideline,scrc_category
6.8.4,Rule,Advisory,236,C4,yes,proposed_rust_obligation,SCR-RUST-015,,draft_requires_review,45,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
6.9.1,Rule,Required,236,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,46,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.9.2,Rule,Advisory,236,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,47,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.0.1,Rule,Required,236,C6,yes,proposed_rust_obligation,SCR-RUST-016,,draft_requires_review,48,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
7.0.2,Rule,Required,236,C4,yes,proposed_rust_obligation,SCR-RUST-016,,draft_requires_review,49,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
7.0.3,Rule,Required,236,C4,yes,not_applicable,,SCRC: not applicable. char converts only explicitly via u32. Mapping removed.,draft_requires_review,50,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.0.4,Rule,Required,236,C3,no,proposed_rust_obligation,SCR-RUST-026,SCRC: applies. Restore check obligation from C3: dynamic shift counts can be invalid and operand types need not match.,draft_requires_review,51,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,gui_RHvQj8BHlz9b,Advisory
7.0.5,Rule,Required,236,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,52,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.0.6,Rule,Required,236,C6,yes,not_applicable,,SCRC: not applicable. No integral promotion or overload sets. Mapping removed.,draft_requires_review,53,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.11.1,Rule,Required,237,C4,yes,retained_beyond_scrc,SCR-RUST-017,"SCRC: not applicable (no overloads, no NULL macro). Retained: raw null pointers are still constructible in safe Rust.",draft_requires_review,54,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.11.2,Rule,Required,237,C3,no,not_applicable,,SCRC: not applicable. Arrays do not decay to pointers. Mapping removed.,draft_requires_review,55,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
7.11.3,Rule,Required,237,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,56,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.0.1,Rule,Advisory,237,C6,yes,proposed_rust_obligation,SCR-RUST-018,,draft_requires_review,57,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
8.1.1,Rule,Required,237,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,58,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.1.2,Rule,Advisory,237,C3,no,proposed_rust_obligation,SCR-RUST-015,SCRC: applies to unsafe Rust; closures can capture raw pointers outside borrow-checker guarantees.,draft_requires_review,59,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.1,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-019,,draft_requires_review,60,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.2,Rule,Required,237,C3,no,proposed_rust_obligation,SCR-RUST-016,"SCRC: applies to safe Rust (gui_ADHABsmK9FXz, Advisory); `as` casts hide intent, prefer specific conversion functions.",draft_requires_review,61,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,gui_ADHABsmK9FXz,Advisory
8.2.3,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-020,Raw-pointer mutability casts can be safe syntax; validity of subsequent access still needs review.,draft_requires_review,62,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.4,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-021,Safe function-pointer casts exist; do not infer ABI correctness from absence of unsafe syntax.,draft_requires_review,63,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.5,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-020,transmute is not generally a safer alternative to a cast; review all representation invariants.,draft_requires_review,64,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.6,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-020,Pointer casts/reconstruction may occur outside unsafe blocks; scan all code.,draft_requires_review,65,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.7,Rule,Advisory,237,C4,yes,proposed_rust_obligation,SCR-RUST-020,Correction: pointer-to-integer casts do not require an unsafe block.,draft_requires_review,66,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.2.8,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-020,Address width and provenance obligations apply even when the cast is safe syntax.,draft_requires_review,67,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
8.2.9,Rule,Required,237,C4,yes,not_applicable,,SCRC: not applicable. type_id/type_name are compile-time. Mapping removed.,draft_requires_review,68,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.2.10,Rule,Required,237,C6,yes,proposed_rust_obligation,SCR-RUST-022,,draft_requires_review,69,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,gui_ot2Zt3dd6of1,Required
8.2.11,Rule,Required,237,C4,yes,proposed_rust_obligation,SCR-RUST-021,,draft_requires_review,70,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.3.1,Rule,Advisory,237,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,71,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.3.2,Rule,Advisory,238,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,72,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.7.1,Rule,Required,238,C4,yes,proposed_rust_obligation,SCR-RUST-023,Pointer APIs differ: some wrapping operations permit intermediate out-of-bounds values.,draft_requires_review,73,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.7.2,Rule,Required,238,C4,yes,proposed_rust_obligation,SCR-RUST-023,,draft_requires_review,74,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.9.1,Rule,Required,238,C4,yes,proposed_rust_obligation,SCR-RUST-023,Correction: raw-pointer relational comparisons can be safe expressions; project ordering restrictions still apply.,draft_requires_review,75,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
8.14.1,Rule,Advisory,238,C6,yes,proposed_rust_obligation,SCR-RUST-024,,draft_requires_review,76,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
8.18.1,Rule,Mandatory,238,C4,yes,proposed_rust_obligation,SCR-RUST-025,Use the Rust API contract: ptr::copy permits overlap; copy_nonoverlapping does not.,draft_requires_review,77,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
8.18.2,Rule,Advisory,238,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,78,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.19.1,Rule,Advisory,238,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,79,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
8.20.1,Rule,Advisory,238,C6,yes,proposed_rust_obligation,SCR-RUST-026,,draft_requires_review,80,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
9.2.1,Rule,Required,238,C3,no,not_applicable,,SCRC: not applicable. let syntax prevents the confusion. Mapping removed.,draft_requires_review,81,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.3.1,Rule,Required,238,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,82,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.4.1,Rule,Required,238,C6,yes,proposed_rust_obligation,SCR-RUST-027,,draft_requires_review,83,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
9.4.2,Rule,Required,238,C3,no,rule_assignment_pending,,SCRC: applies to safe Rust in part (sub-rules on braces/compound statements). No S-CORE rule yet.,draft_requires_review,84,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
9.5.1,Rule,Advisory,238,C3,no,rule_assignment_pending,,SCRC: applies to safe Rust; prefer iterators over index-modifying while loops. No S-CORE rule yet.,draft_requires_review,85,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
9.5.2,Rule,Required,238,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,86,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.6.1,Rule,Advisory,239,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,87,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.6.2,Rule,Required,239,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,88,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.6.3,Rule,Required,239,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,89,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.6.4,Rule,Required,239,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,90,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
9.6.5,Rule,Required,239,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,91,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
10.0.1,Rule,Advisory,239,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,92,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
10.1.1,Rule,Advisory,239,C3,no,rule_assignment_pending,,"SCRC: applies to safe Rust; take &mut only when needed, with trait-definition exception. No S-CORE rule yet.",draft_requires_review,93,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
10.1.2,Rule,Required,239,C4,yes,proposed_rust_obligation,SCR-RUST-028,,draft_requires_review,94,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
10.2.1,Rule,Required,239,C3,no,rule_assignment_pending,,"SCRC: applies to safe Rust; explicit enum representation, except data-carrying enums. No S-CORE rule yet.",draft_requires_review,95,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
10.2.2,Rule,Advisory,239,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,96,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
10.2.3,Rule,Required,239,C3,no,proposed_rust_obligation,SCR-RUST-016,SCRC: applies to safe Rust; `as` casts of enum discriminants to narrow integers can overflow.,draft_requires_review,97,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
10.3.1,Rule,Advisory,239,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,98,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
10.4.1,Rule,Required,239,C4,yes,proposed_rust_obligation,SCR-RUST-029,,draft_requires_review,99,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
11.3.1,Rule,Advisory,239,C3,no,not_applicable,,SCRC: not applicable. Do not adopt the artifact claim that arrays never implement Copy: Copy arrays exist when their elements are Copy. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,100,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
11.3.2,Rule,Advisory,239,C4,yes,proposed_rust_obligation,SCR-RUST-030,,draft_requires_review,101,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
11.6.1,Rule,Advisory,239,C4,yes,proposed_rust_obligation,SCR-RUST-031,,draft_requires_review,102,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
11.6.2,Rule,Mandatory,240,C4,yes,proposed_rust_obligation,SCR-RUST-031,,draft_requires_review,103,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
11.6.3,Rule,Required,240,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,104,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
12.2.1,Rule,Advisory,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,105,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
12.2.2,Rule,Required,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,106,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
12.2.3,Rule,Required,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,107,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
12.3.1,Rule,Required,240,C5,yes,proposed_rust_obligation,SCR-RUST-032,,draft_requires_review,108,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
13.1.1,Rule,Advisory,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,109,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
13.1.2,Rule,Required,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,110,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
13.3.1,Rule,Required,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,111,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
13.3.2,Rule,Required,240,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,112,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
13.3.3,Rule,Required,240,C6,yes,proposed_rust_obligation,SCR-RUST-033,Rust accepts underscore parameter patterns; names and unused-role policy need explicit interpretation.,draft_requires_review,113,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
13.3.4,Rule,Required,240,C2,no,rule_assignment_pending,,SCRC: applies to safe Rust; function/vtable pointer comparison is unspecified. No S-CORE rule yet.,draft_requires_review,114,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
14.1.1,Rule,Advisory,240,C6,yes,proposed_rust_obligation,SCR-RUST-034,Adapt structural public/private restriction into invariant protection; record as project interpretation.,draft_requires_review,115,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
15.0.1,Rule,Required,240,C5,yes,proposed_rust_obligation,SCR-RUST-035,"Pin is a type, not a trait; review Unpin/structural pinning only where used.",draft_requires_review,116,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
15.0.2,Rule,Advisory,241,C3,no,not_applicable,,SCRC: not applicable. No move constructors; Clone signature fixed by the trait. Mapping removed.,draft_requires_review,117,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
15.1.1,Rule,Required,241,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,118,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
